neighborhood,sqft_living,area_unit,lot_size_sqft,bedrooms,bathrooms,floors,year_built,renovated,condition,grade,garage,basement,pool,school_score,sale_price
Maple Grove,2528.0,sqft,4168.0,4,3.0,2.5,1951.0,No,4,6,Y,Y,N,7.0,308500.0
Cedar Falls,1714.0,sqft,2438.0,2,2.0,1.5,1989.0,No,3,10,Y,Y,N,6.0,256700.0
Cedar Falls,1236.0,sqft,1618.0,2,1.5,1.0,2003.0,No,2,10,Y,N,N,4.0,$153.7K
Northgate,259.2,sqm,5274.0,5,4.0,2.0,1986.0,No,4,6,Y,Y,N,,$267.9K
Brookhaven,1244.0,sqft,1910.0,3,2.5,1.0,1922.0,No,2,4,Y,Y,N,8.0,$226.0K
Sunridge,1610.0,sqft,5770.0,3,2.5,1.0,1966.0,Yes,3,8,Y,N,N,5.0,$167.0K
Maple Grove,3262.0,sqft,6947.0,7,5.0,1.0,1987.0,No,5,7,N,Y,N,7.0,540800.0
Sunridge,174.3,sqm,3204.0,3,2.5,2.0,1934.0,Yes,3,10,Y,N,N,6.0,$163.2K
Sunridge,99.5,sqm,1357.0,2,1.0,2.0,1983.0,No,3,5,Y,Y,N,5.0,107700.0
Riverside Park,145.2,sqm,5350.0,3,2.5,1.0,1996.0,Yes,5,5,N,N,N,7.0,$250.3K
Old Mill District,190.1,sqm,3579.0,3,2.0,2.5,1979.0,No,1,10,Y,Y,N,9.0,$669.2K
Old Mill District,2185.0,sqft,8135.0,3,2.0,2.0,2016.0,No,4,4,N,Y,N,6.0,$603.4K
Cedar Falls,2042.0,sqft,7161.0,2,1.0,1.0,2001.0,No,4,5,Y,Y,N,,$335.9K
Riverside Park,132.8,sqm,5699.0,2,1.5,2.0,1987.0,Yes,4,3,N,Y,N,,$251.9K
Cedar Falls,2491.0,sqft,3756.0,4,3.0,1.0,1945.0,Yes,5,6,N,N,N,4.0,308900.0
Harbor Point,874.0,sqft,2310.0,1,1.5,1.5,,Yes,4,9,Y,Y,N,5.0,$231.6K
Maple Grove,1986.0,sqft,5992.0,3,2.0,1.0,1924.0,No,3,8,Y,N,N,5.0,245400.0
Northgate,170.3,sqm,6094.0,3,2.5,1.0,1978.0,No,3,3,Y,N,N,6.0,155900.0
Northgate,1201.0,sqft,2636.0,1,1.0,3.0,1948.0,No,4,9,Y,N,N,4.0,$86.7K
Old Mill District,1691.0,sqft,4613.0,1,1.0,1.0,1927.0,Yes,4,9,N,,N,7.0,$350.5K
Riverside Park,550.0,sqft,1285.0,1,1.0,1.0,1994.0,No,3,7,Y,Y,N,8.0,118900.0
Cedar Falls,1526.0,sqft,4014.0,2,2.0,1.0,1924.0,No,3,9,Y,,N,10.0,$157.8K
Riverside Park,1385.0,sqft,5228.0,2,1.5,1.0,1967.0,Yes,4,3,Y,N,N,7.0,235000.0
Riverside Park,622.0,sqft,2328.0,1,1.0,2.0,1961.0,No,4,7,N,N,N,6.0,$86.5K
Riverside Park,1732.0,sqft,2500.0,2,1.5,1.0,1930.0,Yes,3,9,N,N,N,6.0,264100.0
Sunridge,217.9,sqm,5790.0,4,2.5,3.0,1923.0,Yes,2,7,Y,Y,N,5.0,$208.7K
Sunridge,500.0,sqft,1567.0,1,1.0,1.0,1935.0,No,4,7,N,Y,N,,45000
Maple Grove,2431.0,sqft,6267.0,5,4.5,2.5,1984.0,Yes,3,6,Y,Y,N,6.0,$442.2K
Northgate,2546.0,sqft,8484.0,4,3.0,2.0,1936.0,Yes,5,6,Y,N,N,8.0,$176.9K
Maple Grove,855.0,sqft,2330.0,1,1.0,1.0,1989.0,No,4,6,Y,Y,N,5.0,140500.0
Cedar Falls,1082.0,sqft,2811.0,2,2.0,1.0,1984.0,No,3,7,N,Y,N,5.0,132000.0
Northgate,1865.0,sqft,4215.0,3,3.0,2.0,1920.0,No,3,9,Y,Y,N,3.0,$137.7K
Brookhaven,2341.0,sqft,5396.0,4,3.0,1.0,1985.0,No,3,3,N,N,N,6.0,$403.2K
Riverside Park,2245.0,sqft,8501.0,3,2.5,2.0,1933.0,No,4,8,Y,N,N,,399700.0
Riverside Park,1581.0,sqft,2658.0,3,2.5,2.5,2011.0,No,4,4,Y,Y,N,7.0,$352.4K
Harbor Point,1690.0,sqft,3448.0,3,2.0,1.0,1934.0,No,4,4,N,N,N,8.0,$319.2K
Maple Grove,2347.0,sqft,4456.0,4,2.5,2.0,1936.0,No,3,3,N,N,N,4.0,$236.4K
Old Mill District,2228.0,sqft,8304.0,3,2.5,1.5,2018.0,No,3,7,Y,Y,N,3.0,$563.9K
Cedar Falls,1374.0,sqft,4647.0,3,2.0,2.0,1966.0,Yes,3,9,Y,Y,N,6.0,192300.0
Maple Grove,1759.0,sqft,3377.0,2,1.0,2.5,1970.0,Yes,3,3,N,N,N,4.0,$238.6K
Cedar Falls,1679.0,sqft,5939.0,3,4.0,1.0,,Yes,1,3,Y,N,N,7.0,$179.0K
Cedar Falls,2087.0,sqft,7551.0,5,3.5,2.0,2012.0,No,4,10,Y,Y,N,4.0,324900.0
Northgate,1349.0,sqft,2961.0,2,1.5,2.0,1940.0,No,3,6,Y,N,N,,100200.0
Brookhaven,1769.0,sqft,5325.0,3,2.0,2.5,1951.0,No,3,7,N,Y,N,,$256.6K
Old Mill District,94.4,sqm,3003.0,2,2.0,1.5,1955.0,No,5,8,Y,N,N,3.0,212900.0
Harbor Point,1052.0,sqft,1365.0,1,1.5,1.5,1937.0,No,3,10,Y,Y,N,9.0,$275.2K
Northgate,1571.0,sqft,5651.0,2,1.5,3.0,1946.0,Yes,4,6,Y,N,N,,116100.0
Brookhaven,1466.0,sqft,4853.0,2,1.5,2.0,1943.0,No,5,5,N,N,N,8.0,247600.0
Old Mill District,1244.0,sqft,2822.0,2,1.5,1.5,2011.0,No,5,3,N,N,N,6.0,299700.0
Cedar Falls,1869.0,sqft,6291.0,3,2.5,1.0,1960.0,No,5,9,Y,Y,N,8.0,$289.1K
Maple Grove,1674.0,sqft,2444.0,2,1.5,2.0,1979.0,Yes,5,9,Y,Y,N,5.0,$260.8K
Brookhaven,2272.0,sqft,5207.0,4,2.5,2.5,1940.0,Yes,3,6,Y,Y,N,6.0,$481.0K
Brookhaven,1575.0,sqft,5826.0,3,2.5,1.5,1946.0,No,4,4,N,N,N,4.0,223700.0
Old Mill District,217.7,sqm,5138.0,3,2.5,2.0,2012.0,No,4,7,Y,N,N,4.0,510000.0
Northgate,1138.0,sqft,3931.0,3,1.5,1.5,2013.0,No,4,5,Y,N,N,8.0,127500.0
Northgate,1712.0,sqft,3655.0,3,2.5,2.5,2014.0,No,2,4,Y,Y,N,9.0,$185.9K
Sunridge,1432.0,sqft,5471.0,3,2.0,2.0,2007.0,No,4,8,Y,Y,N,4.0,$169.4K
Cedar Falls,2468.0,sqft,6234.0,4,2.0,1.0,1988.0,No,4,8,Y,Y,N,7.0,370500.0
Riverside Park,2652.0,sqft,6850.0,3,2.5,2.5,1975.0,Yes,4,7,Y,Y,N,6.0,440700.0
Brookhaven,2190.0,sqft,5443.0,3,2.0,1.5,1935.0,No,3,4,N,Y,N,10.0,$413.1K
Riverside Park,1484.0,sqft,3655.0,2,2.0,2.0,1951.0,No,4,5,N,N,N,7.0,$239.6K
Old Mill District,1541.0,sqft,3343.0,3,3.0,2.0,1973.0,No,5,10,Y,Y,N,6.0,356300.0
Maple Grove,1092.0,sqft,2676.0,1,1.0,1.5,1989.0,No,5,7,Y,Y,N,5.0,$174.9K
Cedar Falls,277.3,sqm,11387.0,4,2.5,1.0,1942.0,No,4,10,Y,Y,N,7.0,$410.1K
Maple Grove,1834.0,sqft,,3,2.0,2.0,1970.0,Yes,1,9,N,N,N,7.0,301700.0
Northgate,1830.0,sqft,5692.0,2,1.5,2.0,1930.0,No,3,9,Y,Y,N,5.0,$146.7K
Maple Grove,296.7,sqm,10688.0,5,4.0,1.5,2022.0,No,3,9,N,Y,N,4.0,$498.4K
Brookhaven,194.7,sqm,6855.0,3,4.0,2.0,1975.0,No,3,9,Y,N,N,3.0,368800.0
Cedar Falls,2389.0,sqft,5513.0,3,2.0,2.0,1989.0,No,5,6,Y,Y,N,7.0,$338.1K
Sunridge,108.3,sqm,3098.0,3,2.5,2.5,1944.0,Yes,3,8,Y,Y,N,7.0,110500.0
Sunridge,184.8,sqm,2488.0,3,2.5,1.5,1921.0,Yes,2,8,Y,Y,N,6.0,212100.0
Old Mill District,500.0,sqft,1726.0,1,1.0,2.5,1947.0,Yes,4,6,N,N,N,7.0,$117.0K
Harbor Point,2759.0,sqft,6704.0,6,3.0,1.5,1938.0,No,3,9,N,Y,N,6.0,754900.0
Maple Grove,2157.0,sqft,7106.0,2,1.0,2.0,1936.0,No,2,3,Y,N,N,5.0,194600.0
Riverside Park,2953.0,sqft,9498.0,5,4.5,2.0,2012.0,No,3,10,N,Y,N,8.0,728000.0
Cedar Falls,178.6,sqm,3574.0,2,1.5,2.5,1987.0,No,3,7,N,N,Y,4.0,269100.0
Harbor Point,2106.0,sqft,7807.0,3,2.5,1.0,1934.0,No,2,8,N,,N,6.0,418000.0
Northgate,1383.0,sqft,3298.0,2,1.5,2.0,2009.0,No,2,10,Y,N,N,3.0,$99.5K
Cedar Falls,187.2,sqm,6863.0,3,2.5,1.0,1997.0,Yes,3,10,Y,N,N,10.0,$322.6K
Old Mill District,2818.0,sqft,4130.0,4,3.0,2.0,1994.0,No,2,4,N,Y,N,7.0,$749.6K
Northgate,46.4,sqm,1543.0,2,2.5,2.0,1972.0,No,3,7,Y,N,N,6.0,45000
Old Mill District,2840.0,sqft,4076.0,4,3.0,1.5,1958.0,No,1,6,Y,N,N,9.0,$622.2K
Harbor Point,143.3,sqm,4362.0,3,2.5,2.0,1961.0,No,3,5,Y,N,N,4.0,367200.0
Brookhaven,1361.0,sqft,3757.0,2,1.0,3.0,1964.0,Yes,2,7,Y,N,N,5.0,$242.8K
Brookhaven,2513.0,sqft,8664.0,4,3.0,2.0,2014.0,No,4,10,Y,N,N,6.0,$592.9K
Old Mill District,1990.0,sqft,3939.0,3,2.5,1.0,1924.0,No,5,9,Y,N,Y,8.0,$512.7K
Harbor Point,757.0,sqft,2671.0,2,2.0,1.0,1998.0,No,2,3,Y,Y,N,7.0,$216.1K
Cedar Falls,2852.0,sqft,4789.0,5,4.0,1.0,1984.0,No,5,9,Y,N,N,7.0,450700.0
Cedar Falls,2087.0,sqft,7781.0,3,1.0,2.0,1924.0,Yes,3,8,Y,N,N,10.0,$297.7K
Harbor Point,210.4,sqm,3793.0,4,3.0,2.0,2012.0,No,4,8,Y,Y,N,6.0,$693.5K
Sunridge,2192.0,sqft,2765.0,4,3.0,1.0,2013.0,No,1,4,Y,Y,N,9.0,231700.0
Maple Grove,236.7,sqm,4537.0,4,3.0,1.0,1961.0,Yes,4,7,Y,Y,N,7.0,370300.0
Riverside Park,595.0,sqft,831.0,1,1.0,1.0,1982.0,Yes,5,7,Y,N,N,6.0,$116.3K
Brookhaven,735.0,sqft,2735.0,1,1.0,1.0,2003.0,Yes,1,6,Y,Y,N,6.0,$196.2K
Cedar Falls,2069.0,sqft,4535.0,3,1.5,1.5,1956.0,No,4,9,Y,Y,N,5.0,$209.8K
Sunridge,1818.0,sqft,6803.0,3,3.0,2.0,1926.0,No,4,9,Y,N,N,6.0,$187.2K
Brookhaven,672.0,sqft,2681.0,1,1.0,2.0,1971.0,Yes,4,6,Y,N,N,8.0,$150.5K
Northgate,1436.0,sqft,5041.0,2,1.0,2.0,1949.0,No,3,4,N,Y,N,6.0,102000.0
Maple Grove,1487.0,sqft,4846.0,1,1.0,1.0,1973.0,No,4,8,Y,Y,N,5.0,$208.2K
Maple Grove,1253.0,sqft,1624.0,2,2.0,2.5,1965.0,Yes,2,4,N,Y,N,6.0,$159.7K
Old Mill District,1603.0,sqft,4618.0,2,1.5,3.0,1931.0,No,4,9,Y,Y,N,6.0,$360.6K
Brookhaven,2514.0,sqft,9542.0,4,3.0,2.5,1960.0,No,2,9,N,N,N,6.0,$443.2K
Northgate,1601.0,sqft,6143.0,3,2.0,2.0,1924.0,No,5,6,Y,N,N,4.0,113400.0
Old Mill District,2123.0,sqft,3216.0,4,3.5,1.0,1949.0,No,4,6,N,,N,8.0,$406.4K
Maple Grove,1651.0,sqft,5429.0,2,2.5,3.0,1974.0,Yes,5,8,Y,N,Y,3.0,$295.1K
Sunridge,2061.0,sqft,4824.0,3,2.5,2.5,2020.0,No,3,7,Y,Y,N,6.0,$250.4K
Riverside Park,2217.0,sqft,6032.0,4,3.0,2.0,1999.0,No,4,7,Y,N,N,7.0,$429.3K
Maple Grove,1132.0,sqft,3135.0,3,1.5,1.0,1946.0,No,1,9,Y,N,N,6.0,$143.6K
Brookhaven,1105.0,sqft,1604.0,1,1.0,2.0,1988.0,Yes,3,7,N,Y,N,4.0,$197.1K
Sunridge,1670.0,sqft,5662.0,3,1.0,3.0,1940.0,No,5,3,Y,,N,4.0,126500.0
Sunridge,1355.0,sqft,2155.0,2,1.5,1.0,1963.0,No,3,7,N,N,N,7.0,$111.6K
Northgate,500.0,sqft,1754.0,1,1.0,1.0,1981.0,No,2,7,N,N,N,6.0,45000
Maple Grove,1933.0,sqft,3970.0,3,1.5,1.0,1995.0,No,5,6,Y,N,N,7.0,$246.9K
Northgate,302.0,sqm,6258.0,5,2.5,2.5,1975.0,No,3,4,Y,N,N,8.0,303300.0
Harbor Point,1631.0,sqft,2315.0,2,1.5,2.0,1974.0,Yes,2,4,Y,Y,N,,$444.5K
Harbor Point,1478.0,sqft,4384.0,3,2.0,3.0,1953.0,Yes,2,6,N,Y,N,5.0,$371.2K
Old Mill District,1488.0,sqft,4969.0,2,1.5,2.5,1997.0,No,4,3,Y,N,N,9.0,417600.0
Cedar Falls,1694.0,sqft,5505.0,3,2.5,1.0,2018.0,No,4,4,N,N,N,3.0,239000.0
Sunridge,1902.0,sqft,,2,1.0,2.0,2022.0,No,3,6,Y,Y,N,7.0,245700.0
Maple Grove,1677.0,sqft,3196.0,2,1.0,1.5,1945.0,No,2,6,Y,N,N,9.0,$206.3K
Sunridge,2255.0,sqft,6017.0,3,2.0,2.5,1943.0,No,2,5,Y,Y,Y,7.0,$224.8K
Cedar Falls,1457.0,sqft,1864.0,2,1.0,1.0,1951.0,No,4,3,N,Y,N,6.0,$166.9K
Northgate,1850.0,sqft,3265.0,4,3.0,2.0,2004.0,No,2,3,Y,N,N,5.0,$155.0K
Brookhaven,1891.0,sqft,3241.0,2,1.5,3.0,1939.0,No,5,8,Y,N,N,6.0,$335.5K
Brookhaven,951.0,sqft,2799.0,1,1.0,2.0,1943.0,No,1,7,N,Y,N,9.0,$183.9K
Riverside Park,1628.0,sqft,5875.0,3,2.0,2.0,1948.0,Yes,2,5,N,N,N,3.0,199800.0
Sunridge,3184.0,sqft,6352.0,5,3.0,1.0,1928.0,Yes,4,3,Y,Y,Y,8.0,345100.0
Old Mill District,1305.0,sqft,5192.0,2,2.5,1.0,1929.0,Yes,5,6,N,N,N,6.0,259300.0
Riverside Park,3057.0,sqft,10155.0,5,3.0,1.0,1991.0,No,3,3,N,N,N,4.0,$431.1K
Brookhaven,1412.0,sqft,3307.0,2,2.5,1.0,1927.0,No,4,8,Y,N,N,,241300.0
Harbor Point,1852.0,sqft,6050.0,3,1.0,3.0,1993.0,No,3,10,Y,,N,7.0,630400.0
Sunridge,1423.0,sqft,4372.0,1,1.5,1.0,1923.0,No,5,10,Y,N,N,5.0,$141.5K
Old Mill District,1457.0,sqft,5538.0,1,1.0,2.0,1931.0,No,2,9,Y,N,N,9.0,280800.0
Harbor Point,190.0,sqm,7474.0,3,2.5,2.0,1955.0,No,3,7,N,N,N,3.0,$500.3K
Sunridge,1391.0,sqft,2441.0,2,2.5,2.0,1960.0,No,4,9,N,N,N,5.0,133000.0
Brookhaven,1761.0,sqft,4528.0,3,2.0,1.5,1975.0,No,2,8,Y,Y,N,5.0,$354.6K
Cedar Falls,1207.0,sqft,3012.0,3,2.0,2.0,1984.0,No,4,8,N,N,N,,190000.0
Sunridge,1645.0,sqft,2838.0,3,2.5,1.5,1981.0,Yes,4,10,Y,N,N,4.0,190200.0
Harbor Point,1390.0,sqft,3806.0,1,1.0,1.0,1978.0,Yes,3,9,N,N,N,7.0,$453.7K
Maple Grove,1518.0,sqft,3938.0,3,2.0,1.0,1966.0,No,3,8,Y,N,N,10.0,$229.5K
Northgate,1927.0,sqft,5764.0,3,1.5,1.0,2001.0,No,4,5,Y,Y,N,8.0,$180.0K
Harbor Point,833.0,sqft,1194.0,2,1.5,2.0,1965.0,No,1,8,Y,Y,N,8.0,$226.5K
Old Mill District,1716.0,sqft,3780.0,3,2.5,1.5,1965.0,No,2,5,Y,N,N,8.0,$405.5K
Cedar Falls,2475.0,sqft,5879.0,4,2.5,2.0,1983.0,No,3,10,N,N,N,8.0,282700.0
Cedar Falls,1493.0,sqft,2294.0,3,2.0,1.0,2020.0,No,4,6,Y,Y,N,7.0,229400.0
Maple Grove,1684.0,sqft,4652.0,3,2.0,3.0,2022.0,No,3,6,N,Y,N,9.0,299300.0
Harbor Point,2158.0,sqft,3689.0,4,4.0,1.5,1955.0,Yes,4,8,N,Y,N,,$656.7K
Brookhaven,173.3,sqm,4639.0,3,1.5,1.0,1999.0,Yes,3,3,Y,Y,N,6.0,427700.0
Harbor Point,2688.0,sqft,5872.0,5,3.5,1.0,2021.0,No,3,8,N,N,N,7.0,868700.0
Riverside Park,162.0,sqm,3999.0,2,1.5,1.0,1938.0,No,4,3,Y,Y,N,3.0,255100.0
Cedar Falls,1988.0,sqft,7272.0,3,2.0,2.0,1923.0,No,4,10,Y,Y,N,4.0,$229.2K
Northgate,2379.0,sqft,7813.0,3,2.0,3.0,2002.0,No,5,6,N,Y,N,8.0,220100.0
Brookhaven,1771.0,sqft,3143.0,2,2.0,1.0,1927.0,No,5,6,N,N,Y,5.0,302400.0
Northgate,2472.0,sqft,9855.0,5,4.0,3.0,1944.0,Yes,5,8,N,Y,N,7.0,236600.0
Sunridge,2210.0,sqft,8544.0,4,3.0,3.0,2009.0,Yes,3,5,Y,Y,N,9.0,230000.0
Harbor Point,519.0,sqft,969.0,2,2.0,1.0,1961.0,Yes,3,10,N,Y,N,6.0,$156.3K
Old Mill District,1841.0,sqft,6868.0,3,2.5,1.0,1983.0,No,2,9,Y,N,N,6.0,$453.9K
Brookhaven,1012.0,sqft,3126.0,1,1.0,2.5,1933.0,No,5,4,N,Y,Y,5.0,$176.8K
Maple Grove,1688.0,sqft,2204.0,2,1.0,1.0,1976.0,No,4,8,Y,N,N,6.0,237000.0
Riverside Park,2386.0,sqft,3029.0,3,3.5,2.0,1938.0,No,5,8,Y,N,N,7.0,$325.5K
Riverside Park,935.0,sqft,1220.0,2,1.5,1.0,1967.0,No,3,8,Y,N,N,,155800.0
Brookhaven,2476.0,sqft,6844.0,4,3.0,2.0,2010.0,No,3,5,Y,N,N,7.0,500700.0
Brookhaven,2119.0,sqft,6777.0,3,3.0,1.0,1961.0,No,5,6,Y,Y,N,7.0,368100.0
Harbor Point,196.4,sqm,7436.0,3,2.0,3.0,2004.0,No,4,9,Y,,N,5.0,$564.2K
Northgate,2775.0,sqft,,3,3.0,1.0,1947.0,No,3,4,Y,Y,N,2.0,$160.1K
Brookhaven,2694.0,sqft,4141.0,4,3.0,2.0,1982.0,Yes,3,6,Y,N,N,4.0,$537.9K
Harbor Point,1775.0,sqft,6187.0,3,2.5,1.0,2001.0,No,2,5,Y,Y,N,7.0,500200.0
Riverside Park,2988.0,sqft,11408.0,5,3.5,2.0,2021.0,No,2,3,Y,N,N,,526500.0
Cedar Falls,1844.0,sqft,3070.0,3,2.0,1.0,1996.0,No,4,7,N,Y,N,6.0,247300.0
Sunridge,83.0,sqm,1499.0,2,2.0,2.0,2023.0,No,3,5,Y,N,N,9.0,$112.0K
Brookhaven,1656.0,sqft,3097.0,3,2.0,2.0,1936.0,Yes,4,10,N,N,N,2.0,287000.0
Harbor Point,2277.0,sqft,8146.0,3,2.5,2.0,1922.0,Yes,5,5,Y,N,Y,6.0,$573.6K
Cedar Falls,236.1,sqm,7780.0,3,2.0,1.0,1921.0,Yes,3,3,Y,Y,N,6.0,$285.9K
Old Mill District,1783.0,sqft,3801.0,2,1.0,2.0,2009.0,No,5,7,Y,N,N,3.0,474600.0
Northgate,2119.0,sqft,4070.0,3,2.5,2.0,1978.0,Yes,4,7,Y,N,N,5.0,$241.5K
Harbor Point,982.0,sqft,2826.0,1,1.0,1.0,1975.0,Yes,3,9,N,N,N,8.0,301800.0
Cedar Falls,1923.0,sqft,3352.0,3,3.0,2.0,1997.0,Yes,3,10,Y,Y,N,3.0,335700.0
Brookhaven,1818.0,sqft,6338.0,3,2.0,1.0,1965.0,No,3,6,N,N,N,,$321.2K
Sunridge,886.0,sqft,1623.0,1,1.0,2.0,1949.0,No,4,5,N,N,N,6.0,$84.2K
Cedar Falls,2155.0,sqft,2915.0,2,1.5,2.0,1940.0,No,1,6,Y,N,N,5.0,$201.7K
Cedar Falls,2049.0,sqft,3188.0,4,3.5,1.5,1984.0,No,4,8,N,N,N,4.0,259200.0
Maple Grove,2154.0,sqft,7425.0,3,2.5,1.0,2021.0,No,3,8,Y,N,N,5.0,$341.1K
Cedar Falls,1316.0,sqft,4263.0,2,1.0,2.0,1949.0,No,2,6,Y,Y,N,5.0,$124.2K
Northgate,121.5,sqm,2062.0,1,1.0,2.0,1969.0,No,5,8,Y,N,N,,131700.0
Riverside Park,94.2,sqm,1906.0,1,1.0,2.0,1938.0,No,3,9,Y,Y,N,,173900.0
Old Mill District,237.2,sqm,4367.0,4,4.0,3.0,1926.0,No,5,7,Y,Y,N,9.0,$552.7K
Cedar Falls,2164.0,sqft,4108.0,3,2.5,1.0,2001.0,No,2,5,Y,N,N,4.0,$251.4K
Cedar Falls,292.6,sqm,12084.0,4,2.5,2.0,1983.0,No,2,5,Y,N,N,5.0,400100.0
Riverside Park,2028.0,sqft,7023.0,3,2.0,1.0,1921.0,Yes,2,4,Y,N,Y,6.0,349100.0
Cedar Falls,1919.0,sqft,4163.0,4,3.5,1.0,2010.0,No,4,6,Y,N,N,6.0,275800.0
Northgate,1020.0,sqft,3690.0,2,1.0,1.5,1976.0,Yes,1,8,Y,Y,N,,106500.0
Harbor Point,2142.0,sqft,2639.0,3,2.0,2.5,1992.0,No,3,10,Y,Y,N,5.0,$538.8K
Old Mill District,1212.0,sqft,4784.0,2,1.5,3.0,1984.0,No,5,3,Y,N,N,5.0,$290.6K
Sunridge,1787.0,sqft,2675.0,3,2.0,2.5,1936.0,No,4,10,Y,N,N,6.0,$159.4K
Riverside Park,2471.0,sqft,7603.0,4,3.5,2.0,1963.0,No,5,4,Y,N,N,6.0,$389.8K
Harbor Point,148.8,sqm,5153.0,1,1.5,1.0,2017.0,No,4,5,Y,N,N,7.0,$495.2K
Maple Grove,839.0,sqft,,1,1.0,1.5,2021.0,No,2,5,Y,N,N,7.0,$141.3K
Cedar Falls,2159.0,sqft,5139.0,3,2.5,2.5,1958.0,Yes,5,9,Y,N,N,8.0,$312.3K
Cedar Falls,3533.0,sqft,7716.0,4,3.5,3.0,1965.0,No,5,6,Y,Y,N,6.0,$463.0K
Cedar Falls,2685.0,sqft,4087.0,4,3.0,3.0,1951.0,Yes,3,10,Y,N,N,6.0,$388.7K
Brookhaven,1311.0,sqft,3092.0,1,1.0,1.5,2023.0,No,4,4,Y,N,N,6.0,310600.0
Harbor Point,2193.0,sqft,2844.0,3,2.0,2.0,1951.0,No,4,3,Y,Y,N,8.0,533900.0
Brookhaven,2075.0,sqft,6333.0,3,1.5,1.0,2018.0,No,4,8,N,N,Y,2.0,$591.4K
Harbor Point,2104.0,sqft,6915.0,3,1.5,2.5,1956.0,No,2,10,N,N,Y,3.0,$505.3K
Northgate,100.9,sqm,1970.0,2,1.5,3.0,,No,5,4,Y,N,N,6.0,91700.0
Old Mill District,1313.0,sqft,2954.0,2,1.0,1.0,1929.0,No,5,8,Y,Y,N,5.0,$260.2K
Brookhaven,1825.0,sqft,7117.0,2,1.5,2.0,2000.0,No,3,5,Y,N,Y,6.0,$368.1K
Riverside Park,2399.0,sqft,8462.0,4,3.5,1.0,1964.0,Yes,3,4,Y,Y,N,6.0,417600.0
Cedar Falls,2565.0,sqft,,3,1.5,2.0,2021.0,No,3,6,Y,N,Y,4.0,$459.3K
Old Mill District,2379.0,sqft,5797.0,4,3.0,1.0,1990.0,No,2,10,Y,Y,N,2.0,531000.0
Harbor Point,155.8,sqm,4211.0,3,1.5,2.0,1979.0,No,3,7,Y,Y,N,5.0,$479.4K
Cedar Falls,205.3,sqm,3552.0,3,1.5,2.0,1949.0,No,3,9,N,Y,N,8.0,296900.0
Old Mill District,1004.0,sqft,1676.0,1,1.0,1.0,2015.0,Yes,3,8,Y,Y,N,9.0,$367.4K
Old Mill District,1742.0,sqft,2403.0,3,2.0,1.0,2004.0,No,5,10,Y,N,N,8.0,$471.2K
Maple Grove,1812.0,sqft,5261.0,2,1.0,2.0,2004.0,No,2,5,Y,N,N,2.0,272300.0
Cedar Falls,1887.0,sqft,4672.0,3,2.0,2.0,1988.0,No,3,4,Y,N,N,3.0,$219.9K
Harbor Point,203.1,sqm,,4,2.5,2.0,1926.0,No,2,8,Y,,N,4.0,$496.1K
Riverside Park,2141.0,sqft,2614.0,3,2.0,2.0,1944.0,Yes,4,9,Y,N,N,7.0,315500.0
Cedar Falls,500.0,sqft,1163.0,1,1.0,1.0,1990.0,Yes,4,6,Y,N,N,,70200.0
Riverside Park,817.0,sqft,2716.0,1,1.0,2.5,1978.0,No,3,5,Y,Y,N,4.0,$135.9K
Harbor Point,2820.0,sqft,8987.0,5,3.5,2.0,2018.0,No,3,5,Y,N,Y,9.0,1238900.0
Old Mill District,169.5,sqm,4517.0,4,3.0,1.0,1959.0,No,4,3,Y,Y,N,9.0,$398.4K
Maple Grove,1364.0,sqft,5303.0,1,1.0,2.0,1962.0,Yes,4,6,N,Y,N,8.0,$216.7K
Old Mill District,2509.0,sqft,3067.0,4,2.5,1.0,2010.0,No,3,3,Y,N,N,8.0,699500.0
Cedar Falls,2698.0,sqft,8592.0,4,3.0,2.0,1934.0,No,3,4,N,N,Y,6.0,$279.7K
Cedar Falls,1631.0,sqft,4536.0,3,2.0,1.0,1956.0,No,4,8,Y,N,N,6.0,$213.5K
Northgate,2184.0,sqft,7869.0,3,2.0,2.0,1979.0,Yes,4,9,Y,Y,N,4.0,$218.3K
Riverside Park,1791.0,sqft,6913.0,2,2.0,3.0,1990.0,Yes,4,9,Y,N,N,5.0,355600.0
Old Mill District,1946.0,sqft,4430.0,3,3.0,2.0,1922.0,No,4,3,Y,N,N,7.0,307800.0
Sunridge,1606.0,sqft,3200.0,2,1.5,2.5,1992.0,Yes,1,5,Y,Y,Y,7.0,$210.3K
Riverside Park,2417.0,sqft,5319.0,3,1.5,1.0,1959.0,No,4,3,Y,N,N,,324200.0
Harbor Point,73.7,sqm,1136.0,1,1.0,1.0,1963.0,No,3,3,N,N,Y,4.0,169600.0
Sunridge,109.9,sqm,1860.0,1,1.0,2.0,2018.0,No,5,4,N,N,N,5.0,$121.5K
Harbor Point,1567.0,sqft,4532.0,2,1.0,2.0,1951.0,No,4,3,Y,,N,5.0,306300.0
Cedar Falls,2456.0,sqft,6672.0,4,3.0,1.5,1968.0,Yes,4,10,Y,Y,N,5.0,$389.9K
Sunridge,1464.0,sqft,2835.0,2,2.0,2.0,1929.0,Yes,4,9,Y,N,N,5.0,112800.0
Old Mill District,2195.0,sqft,4068.0,4,3.5,2.0,1944.0,Yes,4,7,Y,Y,N,6.0,$502.5K
Maple Grove,1514.0,sqft,3226.0,2,2.0,3.0,1945.0,Yes,2,8,Y,N,N,4.0,$173.4K
